Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-04 3:24:28 PM,,,,,45,14,65,GPS,2019-12-04 15:24:28+00:00
Ruksana’s iPhone,2019-12-04 3:26:33 PM,,,0,0,42,13,32,GPS,2019-12-04 15:26:33+00:00
Ruksana’s iPhone,2019-12-04 4:24:29 PM,,,,,42,13,65,GPS,2019-12-04 16:24:29+00:00
Ruksana’s iPhone,2019-12-04 4:26:42 PM,,,3,5,36,11,64,GPS,2019-12-04 16:26:42+00:00
Ruksana’s iPhone,2019-12-04 4:28:00 PM,,,,,36,11,48,GPS,2019-12-04 16:28:00+00:00
Ruksana’s iPhone,2019-12-04 4:29:21 PM,,,0,0,45,14,48,GPS,2019-12-04 16:29:21+00:00
Ruksana’s iPhone,2019-12-04 4:30:51 PM,,,,,13,4,48,GPS,2019-12-04 16:30:51+00:00
Ruksana’s iPhone,2019-12-04 4:34:33 PM,,,1,2,275,84,48,GPS,2019-12-04 16:34:33+00:00
Ruksana’s iPhone,2019-12-04 4:37:18 PM,,,,,42,13,65,GPS,2019-12-04 16:37:18+00:00
Ruksana’s iPhone,2019-12-04 4:47:26 PM,,,,,42,13,65,GPS,2019-12-04 16:47:26+00:00
Ruksana’s iPhone,2019-12-04 4:49:20 PM,,,0,0,39,12,32,GPS,2019-12-04 16:49:20+00:00
Ruksana’s iPhone,2019-12-04 4:53:35 PM,,,0,0,39,12,16,GPS,2019-12-04 16:53:35+00:00
Ruksana’s iPhone,2019-12-04 4:57:52 PM,,,1,2,39,12,16,GPS,2019-12-04 16:57:52+00:00
Ruksana’s iPhone,2019-12-04 5:00:01 PM,,,2,3,32,10,32,GPS,2019-12-04 17:00:01+00:00
Ruksana’s iPhone,2019-12-04 5:02:11 PM,,,0,0,26,8,16,GPS,2019-12-04 17:02:11+00:00
Ruksana’s iPhone,2019-12-04 5:03:44 PM,,,0,0,22,7,16,GPS,2019-12-04 17:03:44+00:00
Ruksana’s iPhone,2019-12-04 5:05:16 PM,,,3,5,22,7,16,GPS,2019-12-04 17:05:16+00:00
Ruksana’s iPhone,2019-12-04 5:05:35 PM,,,2,3,19,6,16,GPS,2019-12-04 17:05:35+00:00
Ruksana’s iPhone,2019-12-04 5:06:54 PM,,,3,5,22,7,16,GPS,2019-12-04 17:06:54+00:00
Ruksana’s iPhone,2019-12-04 5:08:13 PM,,,1,2,22,7,16,GPS,2019-12-04 17:08:13+00:00
Ruksana’s iPhone,2019-12-04 5:09:32 PM,,,6,10,26,8,16,GPS,2019-12-04 17:09:32+00:00
Ruksana’s iPhone,2019-12-04 5:10:51 PM,,,5,8,32,10,16,GPS,2019-12-04 17:10:51+00:00
Ruksana’s iPhone,2019-12-04 5:11:35 PM,,,3,5,32,10,16,GPS,2019-12-04 17:11:35+00:00
Ruksana’s iPhone,2019-12-04 5:14:38 PM,,,0,0,29,9,24,GPS,2019-12-04 17:14:38+00:00
Ruksana’s iPhone,2019-12-04 5:16:02 PM,,,3,5,29,9,6,GPS,2019-12-04 17:16:02+00:00
Ruksana’s iPhone,2019-12-04 5:17:18 PM,,,0,0,26,8,16,GPS,2019-12-04 17:17:18+00:00
Ruksana’s iPhone,2019-12-04 5:19:55 PM,,,3,5,26,8,16,GPS,2019-12-04 17:19:55+00:00
Ruksana’s iPhone,2019-12-04 5:20:03 PM,,,1,2,26,8,16,GPS,2019-12-04 17:20:03+00:00
Ruksana’s iPhone,2019-12-04 5:26:13 PM,,,,,22,7,65,GPS,2019-12-04 17:26:13+00:00
Ruksana’s iPhone,2019-12-04 5:27:39 PM,,,5,8,22,7,16,GPS,2019-12-04 17:27:39+00:00
Ruksana’s iPhone,2019-12-04 5:29:08 PM,,,14,23,19,6,16,GPS,2019-12-04 17:29:08+00:00
Ruksana’s iPhone,2019-12-04 5:30:24 PM,,,0,0,9,3,16,GPS,2019-12-04 17:30:24+00:00
Ruksana’s iPhone,2019-12-04 5:32:18 PM,,,1,2,9,3,16,GPS,2019-12-04 17:32:18+00:00
Ruksana’s iPhone,2019-12-04 5:33:56 PM,,,5,8,3,1,16,GPS,2019-12-04 17:33:56+00:00
Ruksana’s iPhone,2019-12-04 5:35:38 PM,,,0,0,13,4,16,GPS,2019-12-04 17:35:38+00:00
Ruksana’s iPhone,2019-12-04 5:37:17 PM,,,4,6,13,4,16,GPS,2019-12-04 17:37:17+00:00
Ruksana’s iPhone,2019-12-04 5:38:36 PM,,,14,23,16,5,16,GPS,2019-12-04 17:38:36+00:00
Ruksana’s iPhone,2019-12-04 5:40:10 PM,,,2,3,16,5,16,GPS,2019-12-04 17:40:10+00:00
Ruksana’s iPhone,2019-12-04 5:41:54 PM,,,4,6,13,4,16,GPS,2019-12-04 17:41:54+00:00
Ruksana’s iPhone,2019-12-04 5:43:19 PM,,,9,14,16,5,16,GPS,2019-12-04 17:43:19+00:00
Ruksana’s iPhone,2019-12-04 5:45:46 PM,,,0,0,16,5,16,GPS,2019-12-04 17:45:46+00:00
Ruksana’s iPhone,2019-12-04 5:47:56 PM,,,0,0,16,5,16,GPS,2019-12-04 17:47:56+00:00
